TF,TargetGene,Effect,PMID,DATABASEA,Tissue
AHR,CYP1B1,Unknown,12376470;19376845;21742528;24299737,Trrust,"mammarygland,leukocytes,liver"
ARNT,CYP1B1,Activation,16115918;19287966,Trrust,"prostate,rectum,colon"
ARNT,CYP1B1,Unknown,12376470;19255421;19376845;21742528;24299737,Trrust,"mammarygland,leukocytes,liver,skin"
ESR1,CYP1B1,Unknown,15126349,Trrust,"mammarygland,uterus,ovary"
KAT2B,CYP1B1,Unknown,20631054,Trrust,"mammarygland,liver"
JUN,CYP2J2,Unknown,12737630;16008525,Trrust,liver
STAT3,FAAH,Activation,12556536,Trrust,leukocytes
TFAP2C,GPX1,Activation,22964634,Trrust,mammarygland
CREB1,HPGD,Unknown,10650939,Trrust,"leukocytes,placenta,uterus"
ERG,HPGD,Unknown,21178489,Trrust,prostate
ETS1,HPGD,Unknown,10650939,Trrust,"leukocytes,placenta,uterus"
KLF6,LTC4S,Unknown,10722737,Trrust,leukocytes
NFKB1,LTC4S,Repression,12574384,Trrust,leukocytes
RELA,LTC4S,Repression,12574384,Trrust,leukocytes
SP1,LTC4S,Unknown,10722737;10919991,Trrust,leukocytes
NFKB1,PTGDS,Activation,19094210,Trrust,cartilage
USF1,PTGDS,Activation,17574780,Trrust,cns
USF1,PTGDS,Repression,18817855,Trrust,cns
CREB1,PTGES,Unknown,20688046,Trrust,"lung,uterus"
HDAC4,PTGES,Unknown,19115247,Trrust,fibroblasts
HIF1A,PTGES,Activation,18050215,Trrust,cartilage
NFKB1,PTGES,Activation,17928629,Trrust,placenta
RELA,PTGES,Activation,17928629,Trrust,placenta
SP1,PTGES,Unknown,20688046,Trrust,uterus
PPARA,ACADL,Unknown,20110263,Trrust,liver
PPARA,SLC25A20,Unknown,19748481,Trrust,liver
HNF1A,AKR1C4,Unknown,11284743,Trrust,"kidney,liver"
HNF4A,AKR1C4,Unknown,11284743,Trrust,"kidney,liver"
HNF4G,AKR1C4,Unknown,11284743,Trrust,"kidney,liver"
HNF4A,CYP27A1,Unknown,12957378,Trrust,liver
SP3,CYP46A1,Unknown,20930312,Trrust,cns
HDAC7,CYP7A1,Unknown,17654698,Trrust,liver
HNF4A,CYP7A1,Repression,23626788,Trrust,liver
NR0B2,CYP7A1,Unknown,15358835;15581596,Trrust,liver
NR1H4,CYP7A1,Repression,17135343,Trrust,liver
PROX1,CYP7A1,Repression,23626788,Trrust,liver
RXRA,CYP7A1,Unknown,19106115,Trrust,liver
SMAD3,CYP7A1,Repression,17920062,Trrust,liver
SP1,CYP7A1,Unknown,9875228,Trrust,liver
VDR,CYP7A1,Repression,19106115;20371703,Trrust,liver
SP1,CYP7B1,Unknown,11470525,Trrust,"kidney,fibroblasts,liver"
NR0B2,CYP8B1,Unknown,15581596,Trrust,liver
CDX2,ACAT2,Activation,16274362,Trrust,liver
HNF1A,ACAT2,Activation,16274362,Trrust,liver
HNF4A,ACAT2,Unknown,19478207,Trrust,liver
SREBF1,FDFT1,Unknown,11008488;11111077,Trrust,liver
SREBF2,FDFT1,Unknown,11008488;11111077,Trrust,liver
NFYC,FDPS,Unknown,20450493,Trrust,liver
SREBF1,FDPS,Unknown,8798690,Trrust,liver
SREBF2,FDPS,Unknown,20450493,Trrust,liver
YY1,FDPS,Unknown,10318878,Trrust,liver
EGR1,GGPS1,Unknown,21983072,Trrust,lung
SREBF2,HMGCR,Activation,17448444,Trrust,liver
SREBF2,HMGCR,Unknown,19288057,Trrust,liver
HDAC1,HMGCS1,Unknown,12626711,Trrust,colon
EGR1,ACHE,Unknown,7559515,Trrust,cns
TFAP2A,ACHE,Repression,7559515,Trrust,cns
ESR1,CHAT,Unknown,10037443,Trrust,liver
ESR2,CHAT,Unknown,10037443,Trrust,liver
STAT1,CHAT,Unknown,12425940,Trrust,cns
BCL6,CHEK1,Repression,18346918,Trrust,leukocytes
E2F1,CHEK1,Unknown,18660752,Trrust,kidney
MYC,CHEK1,Activation,23269272,Trrust,lung
TP53,CHEK1,Repression,15016801,Trrust,"rectum,colon"
