TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
CTCF,ACAT2,mammarygland,"CTCF IP - HMEC cells, Rep 1 , CTCF IP - HMF cells, Rep 1 , CTCF IP - HMF cells, Rep 2 , CTCF IP - HMEC cells , CTCF IP - HMEC cells, Rep 2 ",,,
HMGN3,ACAT2,leukocytes,HMGN3 IP - K562 cells,,,
MYC,ACAT2,mammarygland,"DHT | MYC ChIP-Seq, MYC IP - MCF-10A cells, MYC IP",,,
DHT,ACAT2,mammarygland,"DHT | MYC ChIP-Seq, DHT | FOXA1 ChIP-Seq",,,
EGR1,ACAT2,leukocytes,EGR1 IP - K562 cells,,,
DHT,ACAT2,prostate,"DHT | FOXA1 ChIP-Seq, DHT | FOXP1 ChIP-Seq, DHT | ERG ChIP-Seq - 18 h, DHT | ERG ChIP-Seq - 2 h, DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq, POU2F1 KD + DHT | FOXA1 ChIP-Seq, DHT | FOXA1 ChIP-Seq",,,
CEBPB,ACAT2,stemcells,"CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP, CEBPB IP",,,
NANOG,ACAT2,stemcells,"NANOG IP - Rep 8 , NANOG IP - Rep 3 , NANOG IP - Rep 1, NANOG IP - Rep 6 , NANOG IP - Rep 5 , NANOG IP - Rep 9 ","16153702,",,
FOXP1,ACAT2,leukocytes,"FOXP1 IP - OCI-LY19, FOXP1 IP - OCI-LY8, FOXP1 IP - OCI-LY10, FOXP1 IP - BJAB, FOXP1 IP - HT",,,
CTCF,ACAT2,stemcells,"CTCF IP - H1 cells, CTCF IP - H1 cells , CTCF IP - Rep 6 ",,,
SP2,ACAT2,leukocytes,SP2 IP - K562 cells,,,
R1881,ACAT2,prostate,"GATA2 KD + R1881 | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, R1881 | FOXA1 ChIP-Seq - Rep 1, GABPA IP | R1881, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1",,,
GATA2,ACAT2,prostate,"GATA2 KD + R1881 | FOXA1 ChIP-Seq, GATA2 ChIP-Seq, GATA2 KD  | FOXA1 ChIP-Seq",,,
USF1,ACAT2,uterus,USF1 IP - ECC1 cells,,,
JUND,ACAT2,colon,JUND IP - HCT116 cells,,,
ETS1,ACAT2,leukocytes,"ETS1 IP - K562 cells, ETS1 IP - GM12878 cells, ETS1 IP",,,
ELF1,ACAT2,liver,ELF1 IP - HepG2 cells,,,
CREB1,ACAT2,prostate,"CREB1 siRNA | FOXA1 ChIP-Seq - Rep 1, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 1, CREB1 ChIP-Seq - LNCaP, CREB1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - LNCaP-abl, FOXA1 siRNA | CREB1 ChIP-Seq - Rep 2, CREB1 siRNA | FOXA1 ChIP-Seq - Rep 2, CREB1 ChIP-Seq - Rep 1",,,
TAL1,ACAT2,colon,TAL1 IP ,,,
SPI1,ACAT2,leukocytes,"SPI1 IP, SPI1 IP - GM12891 cells, SPI1 IP - GM12878 cells, Rep 3 , SPI1 IP, SPI1 IP - GM12878 cells, Rep 4 , SPI1 IP | RUNX1 KD, SPI1 IP, SPI1 IP, SPI1 IP - GM12878 cells, SPI1 IP, SPI1 IP - K562 cells, SPI1 IP - GM12878 cells, Rep 2 , SPI1 IP, SPI1 IP - HL cells",,,
FOXA1,ACAT2,stemcells,FOXA1 IP - Rep 5 ,,,
USF1,ACAT2,colon,USF1 IP - HCT116 cells,,,
GATA3,ACAT2,cns,GATA3 IP - SK-N-SH cells,,,
GABPA,ACAT2,liver,"GABPA IP, GABPA IP - MCF7 cells, GABPA IP - HepG2 cells, GABPA IP, GABPA IP",,,
E2F1,ACAT2,uterus,"E2F1 IP - HeLa cells, Rep 2, E2F1 IP - HeLa cells, Rep 1",,,
