TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
CTCF,LIPE,hspcs,"CTCF IP - HEL 92.1.7 cells, Rep 11 , CTCF IP - Erythroid cells, Rep 1, CTCF IP - HSPCs, Rep 1, CTCF IP - HEL 92.1.7 cells, Rep 14 , CTCF IP - HEL 92.1.7 cells, Rep 8 , CTCF IP - HEL 92.1.7 cells, Rep 5 , CTCF IP - HEL 92.1.7 cells, Rep 1 , CTCF IP - Erythroid cells, Rep 2, CTCF IP - HEL 92.1.7 cells, Rep 7 , CTCF IP - HEL 92.1.7 cells, Rep 2 , CTCF IP - HEL 92.1.7 cells, Rep 13 , CTCF IP - HSPCs, Rep 2, CTCF IP - HEL 92.1.7 cells, Rep 4 ",,,
CTCF,LIPE,stemcells,"CTCF IP - Rep 5 , CTCF IP - Rep 1 , CTCF IP - H1 cells, CTCF IP - Rep 3 , CTCF IP - Rep 7 , CTCF IP - H1 cells , CTCF IP - Rep 4 , CTCF IP - Rep 2 , CTCF IP - Rep 6 ",,,
ATF3,LIPE,colon,"ATF3 IP - HCT116 cells, ATF3 IP | CAMPTO",,,
TCF7L2,LIPE,mammarygland,TCF7L2 ChIP-Seq,,,
FOSL2,LIPE,lung,FOSL2 IP - A549 cells,,,
FOSL2,LIPE,liver,FOSL2 IP - HepG2 cells,,,
BHLHE40,LIPE,leukocytes,"BHLHE40 IP - GM12878 cells, BHLHE40 IP - K562 cells",,,
HIF1A,LIPE,bone,HIF1A IP,,,
ETS1,LIPE,leukocytes,ETS1 IP,,,
FOXM1,LIPE,leukocytes,FOXM1 IP - GM12878 cells,,,
MYC,LIPE,leukocytes,"MYC IP | IFNG - K562 cells, 30 min, MYC IP - K562 cells, Rep 1",,,
IFNG,LIPE,leukocytes,"MYC IP | IFNG - K562 cells, 30 min, STAT1 IP - Rep 3",,,
MAFK,LIPE,liver,"MAFK IP - HepG2 cells, Rep 2",,,
GATA3,LIPE,mammarygland,"GATA3 IP - MCF7 cells, GATA3 IP - MCF-7 cells, GATA3 IP - T47D cells",,,
HOXA4,LIPE,colon,HOXA4 IP ,,,
UBTF,LIPE,leukocytes,UBTF IP - K562 cells,,,
CTCF,LIPE,heart,"CTCF IP - myocytes cells, Rep 2 , CTCF IP - myocytes cells, Rep 1 , CTCF IP - HCF cells ",,,
FOXA1,LIPE,lung,"FOXA1 IP | DEX - A549 cells, FOXA1 IP - A549 cells",,,
DEX,LIPE,lung,"FOXA1 IP | DEX - A549 cells, CTCF IP | DEX - A549 cells , USF1 IP | DEX - A549 cells, CREB1 IP | DEX - A549 cells, CTCF IP | DEX - A549 cells",,,
CTCF,LIPE,kidney,"CTCF IP - HRE cells, Rep 1 , CTCF IP - HEK293 cells, Rep 2 , CTCF IP - HRE cells, Rep 2 , CTCF IP - HEK293 cells, Rep 1 , CTCF IP - RPTEC cells, Rep 1 , CTCF IP - RPTEC cells, Rep 2 ",,,
ZBTB7A,LIPE,leukocytes,ZBTB7A IP - SK-N-SH cells,,,
MYB,LIPE,leukocytes,"MYB IP - Jurkat, Rep 2, MYB IP - Jurkat, Rep 3, MYB IP - Jurkat, Rep 1, MYB IP - MOLT3, MYB IP - Jurkat, Rep 4, MYB IP - Jurkat, Rep 5",,,
