TF,TargetGene,Tissue,Experiment,Chea,Signor,Trrust
SRF,ARSA,stemcells,"SRF IP - Rep 1 , SRF IP - Rep 3 , SRF IP - Rep 7 , SRF IP - Rep 6 , SRF IP - Rep 5 , SRF IP - Rep 4 ",,,
DEX,ARSA,mammarygland,DEX | FOXA1 ChIP-Seq - Rep 1,,,
GATA2,ARSA,vasculature,GATA2 IP - HUVEC cells,,,
USF1,ARSA,liver,USF1 IP - HepG2 cells,,,
JUND,ARSA,stemcells,JUND IP - H1 cells,,,
MYC,ARSA,leukocytes,"MYC IP - NB4 cells, MYC IP | IFNG - K562 cells, 30 min",,,
GABPA,ARSA,liver,"GABPA IP, GABPA IP - MCF7 cells, GABPA IP - HepG2 cells",,,
TCF12,ARSA,uterus,TCF12 IP - ECC1 cells,,,
CTCF,ARSA,liver,"CTCF IP - HepG2 cells, Rep 1 , CTCF IP - HepG2 cells, Rep 2 , CTCF IP, CTCF IP - SK-N-SH cells, CTCF IP - HepG2 cells ",,,
MAX,ARSA,leukocytes,"MAX IP - GM12878 cells, MAX IP - K562 cells, MAX IP - NB4 cells, MAX IP - K562 cells, Rep 2",,,
ZBTB7A,ARSA,liver,ZBTB7A IP - HepG2 cells,,,
R1881,ARSA,prostate,"R1881 | FOXA1 ChIP-Seq - Rep 1, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 1, GATA2 KD + R1881 | FOXA1 ChIP-Seq, R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq - Rep 2, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 2, CON KD + R1881 | FOXA1 ChIP-Seq, PIAS1 + R1881 | FOXA1 ChIP-Seq - Rep 1, GABPA IP | R1881",,,
CTCF,ARSA,vasculature,"CTCF IP - AoAFC cells, Rep 1 , CTCF IP - HUVEC cells , CTCF IP - HBMEC cells, Rep 2 , CTCF IP - HBMEC cells, Rep 1 , CTCF IP - HUVEC cells, Rep 2 , CTCF IP - HUVEC cells, Rep 1 , CTCF IP - HPAF cells, Rep 2 , CTCF IP - HPAF cells, Rep 1 , CTCF IP - AoAFC cells, Rep 2 ",,,
POU5F1,ARSA,stemcells,POU5F1 IP - Rep 1,,,
IRF1,ARSA,colon,IRF1 IP ,,,
ZNF263,ARSA,kidney,ZNF263 IP - HEK293 cells,,,
CTCF,ARSA,kidney,"CTCF IP - RPTEC cells, Rep 2 , CTCF IP - HRE cells, Rep 1 , CTCF IP - HRE cells, Rep 2 , CTCF IP - RPTEC cells, Rep 1 , CTCF IP - HEK293 cells, Rep 2 , CTCF IP - HEK293 cells, Rep 1 ",,,
ATF2,ARSA,leukocytes,ATF2 IP - GM12878 cells,,,
REST,ARSA,pancreas,"REST IP - Panc1 cells, Rep 3",,,
CTCF,ARSA,heart,"CTCF IP - myocytes cells, Rep 1 , CTCF IP - myocytes cells, Rep 2 , CTCF IP - HCF cells ",,,
CREB1,ARSA,lung,CREB1 IP | DEX - A549 cells,,,
EGR1,ARSA,leukocytes,"EGR1 IP - K562 cells, EGR1 IP - GM12878 cells, Rep 1",,,
STAT3,ARSA,leukocytes,"STAT3 IP - OCI-LY7, STAT3 IP - SU-DHL-10, STAT3 IP - SU-DHL-6, STAT3 IP - SU-DHL-4",,,
ZNF384,ARSA,leukocytes,"ZNF384 IP - GM12878 cells, ZNF384 IP - K562 cells",,,
CREB1,ARSA,liver,"CREB1 IP - HepG2 cells, CREB1 IP, CREB1 IP",,,
ZBTB7A,ARSA,leukocytes,ZBTB7A IP - SK-N-SH cells,,,
POU2F2,ARSA,leukocytes,"POU2F2 IP | POU2F2 WT OE, POU2F2 IP - Rep 2, POU2F2 IP | POU2F2 Mut OE, POU2F2 IP - GM12878 cells, POU2F2 IP - Rep 1",,,
ELF1,ARSA,liver,ELF1 IP - HepG2 cells,,,
TP53,ARSA,bone,"TP53 IP | TP53EE/RR OE, TP53 IP | NUTL3",,,
JUN,ARSA,colon,JUN IP ,,,
DHT,ARSA,mammarygland,"DHT | MYC ChIP-Seq, DHT | FOXA1 ChIP-Seq",,,
MTA3,ARSA,leukocytes,MTA3 IP - GM12878 cells,,,
MAZ,ARSA,uterus,MAZ IP - HeLa cells,,,
LEF1,ARSA,uterus,LEF1 IP | EGF - 24 h,,,
EGF,ARSA,uterus,LEF1 IP | EGF - 24 h,,,
HOXA6,ARSA,colon,HOXA6 IP ,,,
SP1,ARSA,stemcells,SP1 IP - H1 cells,,,
TP63,ARSA,skin,"TP63 IP | BANF1 KD, TP63 IP, TP63 IP",,,
BANF1,ARSA,skin,TP63 IP | BANF1 KD,,,
