TF,TargetGene,Tissue,Chea,Signor,Trrust,Experiment,SPP_Pubmed,Pair,PS_frequency,Tissue_frequency,PS_Confidence,Tissue_Confidence
TFAP2C,TECR,mammarygland,20629094,,,,,TFAP2C -> TECR,1,1,low,low
TFAP4,TECR,leukocytes,,,,TFAP4 IP - Rep 2,24055056,TFAP4 -> TECR,1,1,low,low
TNF,TECR,leukocytes,,,,"RELA IP | TNF - GM12892 cells, RELA IP | TNF - GM15510 cells, RELA IP | TNF - GM12891 cells, RELA IP | TNF - GM18951 cells, RELA IP | TNF - GM18505 cells",,TNF -> TECR,1,1,low,low
TP53,TECR,bone,,,,TP53 IP | TP53EE/RR OE,,TP53 -> TECR,4,4,medium,medium
TP53,TECR,colon,,,,TP53 IP | CAMPTO,,TP53 -> TECR,4,4,medium,medium
TP53,TECR,lung,,,,"TP53 IP - propapoptic, Rep 1",,TP53 -> TECR,4,4,medium,medium
TP53,TECR,mammarygland,,,,"TP53 IP, TP53 IP | NUTL3 - MCF-7",,TP53 -> TECR,4,4,medium,medium
TP63,TECR,esophagus,,,,TP63 IP - KYSE-70,,TP63 -> TECR,4,4,medium,medium
TP63,TECR,lung,,,,TP63 IP - HCC95,,TP63 -> TECR,4,4,medium,medium
TP63,TECR,skin,,,,"TP63 IP, TP63 IP, TP63 IP - Adriam, Rep 1, TP63 IP | BANF1 KD, TP63 IP",,TP63 -> TECR,4,4,medium,medium
TP63,TECR,thyroidgland,,,,TP63 IP - TT MTC,,TP63 -> TECR,4,4,medium,medium
TP73,TECR,bone,,,,"TP73 IP - alpha isoform, Rep 2, TP73 IP - beta isoform, Rep 2, TP73 IP - alpha isoform, Rep 1, TP73 IP - beta isoform, Rep 1",,TP73 -> TECR,1,1,low,low
UBTF,TECR,leukocytes,,,,UBTF IP - K562 cells,,UBTF -> TECR,1,1,low,low
USF1,TECR,cns,,,,"USF1 IP | ATRA - SK-N-SH cells, USF1 IP - SK-N-SH cells",,USF1 -> TECR,7,7,high,medium
USF1,TECR,colon,,,,USF1 IP - HCT116 cells,24076218,USF1 -> TECR,7,7,high,medium
USF1,TECR,leukocytes,,,,"USF1 IP - GM12878 cells, USF1 IP - K562 cells",,USF1 -> TECR,7,7,high,medium
USF1,TECR,liver,,,,USF1 IP - HepG2 cells,24076218,USF1 -> TECR,7,7,high,medium
USF1,TECR,lung,,,,"USF1 IP - A549 cells, Rep 2",,USF1 -> TECR,7,7,high,medium
USF1,TECR,stemcells,,,,USF1 IP - H1 cells,24076218,USF1 -> TECR,7,7,high,medium
USF1,TECR,uterus,,,,USF1 IP - ECC1 cells,24076218,USF1 -> TECR,7,7,high,medium
USF2,TECR,leukocytes,,,,USF2 IP - GM12878 cells,,USF2 -> TECR,1,1,low,low
WT1,TECR,kidney,25993318,,,,,WT1 -> TECR,1,1,low,low
YY1,TECR,cns,,,,"YY1 IP - SK-N-SH cells, YY1 IP | ATRA - SK-N-SH cells",,YY1 -> TECR,4,4,medium,medium
YY1,TECR,leukocytes,,,,"YY1 IP - K562 cells, Rep 1, YY1 IP - K562 cells, Rep 2, YY1 IP - GM12878 cells, YY1 IP - GM12892 cells, Rep 1",,YY1 -> TECR,4,4,medium,medium
